   9.5000000e+01   7.4000000e-02   2.9448547e-01   1.0000000e+00
   1.6600000e+02   1.4000000e-02   7.7633587e-02   1.0000000e+00
   2.3800000e+02   3.0000000e-03   2.6899834e-02   1.0000000e+00
   4.7500000e+02   0.0000000e+00   5.2722073e-04   6.0755453e-01
   9.5100000e+02   0.0000000e+00   2.6016301e-07   1.8515552e-01
   1.6640000e+03   0.0000000e+00   3.0644562e-12   3.1557546e-02
   2.3770000e+03   0.0000000e+00   8.1856443e-17   5.4438055e-03
   4.7540000e+03   0.0000000e+00   3.0057306e-32   1.6759781e-05
   9.5080000e+03   0.0000000e+00   2.3828054e-63   1.9800441e-10
   2.3769000e+04   0.0000000e+00  4.8096784e-155   4.9192286e-25
