   x			   y1		  	   y2
   8.4000000e+01   6.8760000e-01   1.0000000e+00
   1.4600000e+02   5.9480000e-01   1.0000000e+00
   2.0900000e+02   5.3330000e-01   1.0000000e+00
   4.1800000e+02   3.7760000e-01   1.0000000e+00
   8.3500000e+02   2.1050000e-01   1.0000000e+00
   1.4620000e+03   9.9800000e-02   9.0298832e-01
   2.0890000e+03   4.8700000e-02   6.4256031e-01
   4.1770000e+03   6.1000000e-03   2.0762674e-01
   8.3550000e+03   0.0000000e+00   2.1985881e-02
   2.0887000e+04   0.0000000e+00   2.9094804e-05
