   x			   y1		  	   y2
   8.4000000e+01   2.6450000e-01   1.0000000e+00
   1.4600000e+02   1.4130000e-01   1.0000000e+00
   2.0900000e+02   8.2000000e-02   1.0000000e+00
   4.1800000e+02   1.2600000e-02   7.6257199e-01
   8.3500000e+02   5.0000000e-04   2.9251799e-01
   1.4620000e+03   0.0000000e+00   6.9737184e-02
   2.0890000e+03   0.0000000e+00   1.6760241e-02
   4.1770000e+03   0.0000000e+00   1.5319372e-04
   8.3550000e+03   0.0000000e+00   1.5198209e-08
   2.0887000e+04   0.0000000e+00   2.3231757e-20
