   8.4000000e+01   2.3620000e-01   8.7676032e-01   1.0000000e+00
   1.4600000e+02   1.2770000e-01   6.5536680e-01   1.0000000e+00
   2.0900000e+02   7.0500000e-02   4.2532891e-01   1.0000000e+00
   4.1800000e+02   1.4000000e-02   1.1534006e-01   1.0000000e+00
   8.3500000e+02   1.0000000e-03   1.0809540e-02   5.9268679e-01
   1.4620000e+03   0.0000000e+00   3.0316182e-04   2.3872403e-01
   2.0890000e+03   0.0000000e+00   7.8406873e-06   9.6472903e-02
   4.1770000e+03   0.0000000e+00   1.6068170e-10   4.8304584e-03
   8.3550000e+03   0.0000000e+00   5.6373815e-20   1.3234751e-05
   2.0887000e+04   0.0000000e+00   5.4160567e-48   4.0200321e-13
