size epsilon
4804.89671002295 0.036
1522.88911495422 0.056
726.5625 0.076
459.37687237867 0.096
340.435458786936 0.116
206.319290465632 0.136
170.9911361805 0.156
137.218413320274 0.176
102.679658952497 0.196
