eMoR eRoS sizes
1.11326312662298 1.07523428218492 100
1.07931173529458 1.05211882554832 200
1.0513130514183 1.03284009698862 500
1.04078773375903 1.02629574094577 800
1.03604818179198 1.02348436040569 1000
1.02623837552875 1.01770125431311 2000
1.01758278424791 1.01265377991596 5000
1.01484808740857 1.01111770360187 8000
1.01372471113846 1.01064129491752 10000
1.01126795795133 1.0094355877213 20000
1.00929169162468 1.00842680832911 50000
1.00891517392062 1.00827740390206 80000
1.00871424380142 1.0082003894854 1e+05
