MoR RoS MoRB RoSB Samp S
0.4012 0.38905 1 1 329768.281510357 100
0.38055 0.34245 1 1 329768.281510357 200
0.33975 0.26765 1 1 329768.281510357 500
0.3026 0.22295 1 1 329768.281510357 800
0.28155 0.19395 1 1 329768.281510357 1000
0.2227 0.13135 1 1 329768.281510357 2000
0.13195 0.05835 1 1 329768.281510357 5000
0.09235 0.03945 1 1 329768.281510357 8000
0.0769 0.0321 1 1 329768.281510357 10000
0.03905 0.0174 1 0.524759653566291 329768.281510357 20000
0.01255 0.00645 0.608321516839912 0.0707774146876462 329768.281510357 50000
0.0079 0.0039 0.298062459632744 0.00958645272207701 329768.281510357 80000
0.00585 0.00275 0.185304712895589 0.00253415821917204 329768.281510357 1e+05
