MoR RoS MoRB RoSB Samp S
0.3376 0.2636 1 1 65953.7868898457 100
0.2811 0.1896 1 1 65953.7868898457 200
0.1853 0.086 1 1 65953.7868898457 500
0.12825 0.0434 1 1 65953.7868898457 800
0.1101 0.0321 1 1 65953.7868898457 1000
0.04445 0.0058 1 1 65953.7868898457 2000
0.00695 0.00025 1 0.375682710927618 65953.7868898457 5000
0.0018 5e-05 0.771721276544569 0.137946823017462 65953.7868898457 8000
0.00075 0 0.608321516839912 0.0707773189368269 65953.7868898457 10000
0 0 0.185304712895589 0.00253415138622516 65953.7868898457 20000
0 0 0.00528455439079186 1.24129944580614e-07 65953.7868898457 50000
0 0 0.000152674262655591 6.58649718750064e-12 65953.7868898457 80000
0 0 1.44739090503881e-05 9.60060593226157e-15 65953.7868898457 1e+05
