eMoR eRoS sizes
1.03912412298286 1.02556163439167 100
1.0273053981032 1.01782810454674 200
1.0173540041549 1.01097947107742 500
1.01365513783665 1.00892119331815 800
1.01223625515987 1.00806734636852 1000
1.00895459742044 1.00620498209893 2000
1.00611008156846 1.00458484066338 5000
1.00507480346777 1.00407343002052 8000
1.00475982382889 1.00390408984319 10000
1.00407179196721 1.0035629018121 20000
1.00351668426863 1.00330928795486 50000
1.00336524979781 1.00323886050526 80000
1.00330437063305 1.00323372821587 1e+05
