eMoR eRoS sizes
1.03194443563947 1.02069146159408 100
1.02225760026382 1.01465700237935 200
1.01429357928249 1.00928479736064 500
1.01144425071565 1.00739615650958 800
1.01021825298985 1.00667224641432 1000
1.0074220718509 1.00500189525419 2000
1.00493752242236 1.00361711899964 5000
1.00406642312938 1.00312931755773 8000
1.00385058740085 1.00296392419887 10000
1.00313412527437 1.00265371905546 20000
1.00260479550183 1.00242249657044 50000
1.00246671518808 1.00235735944565 80000
1.00239601746883 1.00232547183148 1e+05
