size epsilon
46732.6732673267 0.036
4542.29607250755 0.056
1947.18309859155 0.076
1203.61445783133 0.096
738.957816377171 0.116
515.916398713826 0.136
441.006362058994 0.156
374 0.176
299.664429530201 0.196
