MoR RoS MoRB RoSB Samp S
0.37545 0.32975 1 1 131907.147188897 100
0.3348 0.2741 1 1 131907.147188897 200
0.27065 0.17775 1 1 131907.147188897 500
0.21875 0.12925 1 1 131907.147188897 800
0.19605 0.09975 1 1 131907.147188897 1000
0.1236 0.04385 1 1 131907.147188897 2000
0.0457 0.01025 1 0.866493317174597 131907.147188897 5000
0.02145 0.00475 1 0.524759833798546 131907.147188897 8000
0.01475 0.00405 1 0.37568312672767 131907.147188897 10000
0.00395 0.00105 0.608321516839912 0.0707774753316874 131907.147188897 20000
0.00115 2e-04 0.102330727672723 0.000481566896847915 131907.147188897 50000
0.00055 1e-04 0.0172714897933505 3.35845331518484e-06 131907.147188897 80000
3e-04 5e-05 0.00528455439079186 1.24131298669131e-07 131907.147188897 1e+05
