eMoR eRoS sizes
1.16015278009435 1.10597524204927 100
1.11377767410791 1.07602199931827 200
1.07344940426186 1.04810167344264 500
1.05954638891478 1.03893073262845 800
1.05344988813025 1.03591716559879 1000
1.03944661795598 1.02741230997239 2000
1.02740125925579 1.02052078320634 5000
1.0232523807574 1.0183461415196 8000
1.02216888108093 1.01782694489428 10000
1.01867515256456 1.01626182328791 20000
1.01609818982774 1.01509399102578 50000
1.015545827397 1.01496931150133 80000
1.01526124076839 1.01488302146297 1e+05
