MoR RoS MoRB RoSB Samp S
0.2985 0.21725 1 1 43968.9039568509 100
0.2312 0.13285 1 1 43968.9039568509 200
0.1276 0.03895 1 1 43968.9039568509 500
0.07485 0.01355 1 1 43968.9039568509 800
0.05435 0.0079 1 1 43968.9039568509 1000
0.0143 0.00075 1 0.733079580192011 43968.9039568509 2000
7e-04 5e-05 0.819023501538583 0.163004440489225 43968.9039568509 5000
0 0 0.479547788532909 0.036331403999304 43968.9039568509 8000
5e-05 0 0.335682495694806 0.0133733528052822 43968.9039568509 10000
0 0 0.0565310359448146 9.17649094907105e-05 43968.9039568509 20000
0 0 0.000275376354944174 3.38275587982673e-11 43968.9039568509 50000
0 0 1.37928760196687e-06 1.42412681484292e-17 43968.9039568509 80000
0 0 4.09426454162075e-08 8.31326024814733e-22 43968.9039568509 1e+05
