eMoR eRoS sizes
1.07199499360174 1.04686050296862 100
1.05040284681862 1.03313641969039 200
1.03302591471576 1.02177166633305 500
1.02599001982797 1.01754743337855 800
1.02361383339771 1.0159801735203 1000
1.01748787180541 1.01195759198115 2000
1.01216523102663 1.00907644688318 5000
1.01017619475167 1.00803478466192 8000
1.00959070324598 1.00770652868414 10000
1.00804898070228 1.00696949389155 20000
1.00683382665231 1.00649248487568 50000
1.00657725802025 1.00638186990112 80000
1.00652436137991 1.00635950788536 1e+05
