MoR RoS MoRB RoSB Samp S
0.41215 0.4116 1 1 659538.173597609 100
0.39815 0.38955 1 1 659538.173597609 200
0.37515 0.3321 1 1 659538.173597609 500
0.3585 0.29915 1 1 659538.173597609 800
0.34885 0.2871 1 1 659538.173597609 1000
0.30305 0.2332 1 1 659538.173597609 2000
0.22985 0.16195 1 1 659538.173597609 5000
0.19595 0.1375 1 1 659538.173597609 8000
0.1814 0.12845 1 1 659538.173597609 10000
0.1383 0.1057 1 1 659538.173597609 20000
0.1068 0.09145 1 0.37568265152965 659538.173597609 50000
0.0967 0.08985 0.771721276544569 0.137946788157873 659538.173597609 80000
0.09485 0.0914 0.608321516839912 0.0707772965954852 659538.173597609 1e+05
