   x			   y1			   y2
   9.5000000e+01   8.8070000e-01   1.0000000e+00
   1.6600000e+02   8.4450000e-01   1.0000000e+00
   2.3800000e+02   8.0610000e-01   1.0000000e+00
   4.7500000e+02   7.2790000e-01   1.0000000e+00
   9.5100000e+02   6.2090000e-01   1.0000000e+00
   1.6640000e+03   5.0300000e-01   1.0000000e+00
   2.3770000e+03   4.2890000e-01   1.0000000e+00
   4.7540000e+03   2.6370000e-01   1.0000000e+00
   9.5080000e+03   1.1080000e-01   1.0000000e+00
   2.3769000e+04   4.7000000e-03   4.7437530e-01
