   x			   y1			   y2
   9.5000000e+01   8.3470000e-01   1.0000000e+00
   1.6600000e+02   7.8740000e-01   1.0000000e+00
   2.3800000e+02   7.3520000e-01   1.0000000e+00
   4.7500000e+02   6.3150000e-01   1.0000000e+00
   9.5100000e+02   5.0200000e-01   1.0000000e+00
   1.6640000e+03   3.6660000e-01   1.0000000e+00
   2.3770000e+03   2.7460000e-01   1.0000000e+00
   4.7540000e+03   1.2030000e-01   1.0000000e+00
   9.5080000e+03   2.6900000e-02   7.1764461e-01
   2.3769000e+04   0.0000000e+00   1.5549261e-01
