   x			   y1			   y2
   9.5000000e+01   6.8690000e-01   1.0000000e+00
   1.6600000e+02   5.9900000e-01   1.0000000e+00
   2.3800000e+02   5.2200000e-01   1.0000000e+00
   4.7500000e+02   3.6680000e-01   1.0000000e+00
   9.5100000e+02   2.0900000e-01   1.0000000e+00
   1.6640000e+03   9.4200000e-02   1.0000000e+00
   2.3770000e+03   4.7300000e-02   8.3957113e-01
   4.7540000e+03   5.7000000e-03   3.5351059e-01
   9.5080000e+03   0.0000000e+00   6.3239622e-02
   2.3769000e+04   0.0000000e+00   3.8712631e-04
