MoR RoS MoRB RoSB Samp S
0.3524 0.3508 1 1 659671.947289972 100
0.30135 0.2966 1 1 659671.947289972 200
0.2124 0.21235 1 1 659671.947289972 500
0.1597 0.15845 1 1 659671.947289972 800
0.137 0.13485 1 1 659671.947289972 1000
0.05815 0.05655 1 0.608366192718992 659671.947289972 2000
0.0065 0.00605 1 0.102337061811579 659671.947289972 5000
0.00075 8e-04 1 0.0172741719209316 659671.947289972 8000
2e-04 1e-04 1 0.00528528596731514 659671.947289972 10000
0 0 1 1.44788554666298e-05 659671.947289972 20000
0 0 1 3.53774860808935e-13 659671.947289972 50000
0 0 0.771721276544569 1.00857851341704e-20 659671.947289972 80000
0 0 0.608321516839912 9.76024451280476e-26 659671.947289972 1e+05
