eMoR eRoS sizes
1.01754426971099 1.01728282394599 100
1.0126174138147 1.01242214608225 200
1.00788656205391 1.00775867747202 500
1.00630434562409 1.0062051021552 800
1.00562033108 1.00551603754446 1000
1.00399629069659 1.00392485589551 2000
1.00254409313313 1.00249182029886 5000
1.00200192492686 1.00197320960196 8000
1.00179470618344 1.00176628561967 10000
1.00131320238367 1.00129153891655 20000
1.00082595915741 1.00081424692957 50000
1.00065655440668 1.00065015999564 80000
1.00059188040894 1.00058621256314 1e+05
