MoR RoS MoRB RoSB Samp S
0.2718 0.2655 1 1 131934.389457994 100
0.1981 0.1948 1 1 131934.389457994 200
0.08415 0.0796 1 0.819094767918957 131934.389457994 500
0.04105 0.03905 1 0.479580511656795 131934.389457994 800
0.0243 0.0226 1 0.335755222489892 131934.389457994 1000
0.0034 0.00305 1 0.0565433200419741 131934.389457994 2000
0 0 1 0.000275524774493708 131934.389457994 5000
0 0 1 1.37999140986161e-06 131934.389457994 8000
0 0 1 4.0995563347475e-08 131934.389457994 10000
0 0 0.608321516839912 1.06982343039978e-15 131934.389457994 20000
0 0 0.102330727672723 2.97294416144053e-38 131934.389457994 50000
0 0 0.0172714897933505 9.00858715659708e-61 131934.389457994 80000
0 0 0.00528455439079186 8.76726528491595e-76 131934.389457994 1e+05
