eMoR eRoS sizes
1.03973229040539 1.03937219531154 100
1.02838087224068 1.02807913020957 200
1.01772862573943 1.01753187661714 500
1.01439126950157 1.01426045173278 800
1.01271265072458 1.01259156029387 1000
1.00897756552963 1.00887869776161 2000
1.00569978891122 1.00564795549135 5000
1.00455538857371 1.00449141388436 8000
1.0040471973292 1.00400564798944 10000
1.00289701978505 1.0028630293033 20000
1.00184729851109 1.00182337361028 50000
1.00148195999895 1.00146536152252 80000
1.00132390289807 1.00130544277075 1e+05
