eMoR eRoS sizes
1.03202327747602 1.03095520400496 100
1.02277990084559 1.0218551779886 200
1.01446578985216 1.01397194231723 500
1.01117129778147 1.01080314771363 800
1.01010643516367 1.00973398658353 1000
1.00717413405912 1.00689799327942 2000
1.00442931742104 1.00429311495108 5000
1.00359373485537 1.0034563822905 8000
1.00317560878021 1.00305036763334 10000
1.00225299441868 1.00215749184636 20000
1.00142131247268 1.00136240809543 50000
1.00112611009122 1.00107575999871 80000
1.00098560749263 1.0009385266072 1e+05
