MoR RoS MoRB RoSB Samp S
0.1826 0.17945 1 1 65967.1947289972 100
0.0981 0.09605 1 0.97926155285686 65967.1947289972 200
0.02145 0.0205 1 0.335751529666988 65967.1947289972 500
0.00635 0.0057 1 0.115263257708076 65967.1947289972 800
0.0025 0.0017 1 0.0565721889430839 65967.1947289972 1000
5e-05 5e-05 1 0.00161987414093997 65967.1947289972 2000
0 0 1 4.10080849063632e-08 65967.1947289972 5000
0 0 0.771721276544569 1.13356195154424e-12 65967.1947289972 8000
0 0 0.608321516839912 1.07034783605703e-15 65967.1947289972 10000
0 0 0.185304712895589 9.60037410931507e-31 65967.1947289972 20000
0 0 0.00528455439079186 8.84435500570465e-76 65967.1947289972 50000
0 0 0.000152674262655591 8.18998154897011e-121 65967.1947289972 80000
0 0 1.44739090503881e-05 7.79329930353512e-151 65967.1947289972 1e+05
