MoR RoS MoRB RoSB Samp S
0.32845 0.3219 1 1 131934.37210025 100
0.2716 0.26605 1 1 131934.37210025 200
0.16815 0.15735 1 1 131934.37210025 500
0.11455 0.10225 1 0.979146947685082 131934.37210025 800
0.0935 0.08235 1 0.819119942247461 131934.37210025 1000
0.0275 0.02245 1 0.335709240968598 131934.37210025 2000
0.00145 0.00105 1 0.0232252835927863 131934.37210025 5000
1e-04 1e-04 1 0.00161947726328605 131934.37210025 8000
0 0 1 0.000275341902130907 131934.37210025 10000
0 0 0.608321516839912 4.09547337514282e-08 131934.37210025 20000
0 0 0.102330727672723 1.81209245911787e-19 131934.37210025 50000
0 0 0.0172714897933505 9.54629340509912e-31 131934.37210025 80000
0 0 0.00528455439079186 2.95590826311421e-38 131934.37210025 1e+05
