MoR RoS MoRB RoSB Samp S
0.38175 0.38015 1 1 659671.947289972 100
0.3412 0.339 1 1 659671.947289972 200
0.26085 0.25825 1 1 659671.947289972 500
0.21825 0.2153 1 1 659671.947289972 800
0.19675 0.19015 1 1 659671.947289972 1000
0.1127 0.10945 1 0.979133169100864 659671.947289972 2000
0.02855 0.02675 1 0.335702989185421 659671.947289972 5000
0.0082 0.008 1 0.115236710725242 659671.947289972 8000
0.0039 0.0036 1 0.0565387447766784 659671.947289972 10000
0.00015 1e-04 1 0.00161959486877825 659671.947289972 20000
0 0 1 4.09617024538357e-08 659671.947289972 50000
0 0 0.771721276544569 1.1310829119697e-12 659671.947289972 80000
0 0 0.608321516839912 1.06867502336312e-15 659671.947289972 1e+05
