MoR RoS MoRB RoSB Samp S
0.209 0.2063 1 1 131934.389457994 100
0.13 0.12885 1 1 131934.389457994 200
0.03805 0.03605 1 0.451944427856244 131934.389457994 500
0.01285 0.01195 1 0.185346776358133 131934.389457994 800
0.00535 0.00475 1 0.102358396643649 131934.389457994 1000
0.00025 2e-04 1 0.00528663263700618 131934.389457994 2000
0 0 1 7.67510543593174e-07 131934.389457994 5000
0 0 1 1.1920184294319e-10 131934.389457994 8000
0 0 1 3.54179821579186e-13 131934.389457994 10000
0 0 0.608321516839912 9.76604798339729e-26 131934.389457994 20000
0 0 0.102330727672723 2.83268081541238e-63 131934.389457994 50000
0 0 0.0172714897933505 8.38642991466713e-101 131934.389457994 80000
0 0 0.00528455439079186 8.01647364598319e-126 131934.389457994 1e+05
