MoR RoS MoRB RoSB Samp S
0.0924 0.0881 1 0.979361617344839 32983.5973644986 100
0.02985 0.0279 1 0.479852278733395 32983.5973644986 200
0.00095 8e-04 1 0.0565665685817891 32983.5973644986 500
0 0 1 0.0067022761189922 32983.5973644986 800
0 0 1 0.001621566710268 32983.5973644986 1000
0 0 1 1.38306385042067e-06 32983.5973644986 2000
0 0 0.608321516839912 1.07316078363859e-15 32983.5973644986 5000
0 0 0.298062459632744 9.87149969506963e-25 32983.5973644986 8000
0 0 0.185304712895589 9.63997864854088e-31 32983.5973644986 10000
0 0 0.0172714897933505 9.11648769724308e-61 32983.5973644986 20000
0 0 1.44739090503881e-05 7.97725722217788e-151 32983.5973644986 50000
0 0 1.27053678974956e-08 6.96576688862578e-241 32983.5973644986 80000
0 0 1.1900773831161e-10 6.37156398358167e-301 32983.5973644986 1e+05
