eMoR eRoS sizes
1.07463851465166 1.07208069368272 100
1.05287237822849 1.05087813474985 200
1.03316566342176 1.03197163513334 500
1.0265432485078 1.0256046497806 800
1.02362496042268 1.02263037150287 1000
1.01656636340006 1.01594580626054 2000
1.0106135863889 1.0102273103667 5000
1.00843979803221 1.00813580696786 8000
1.00746667000197 1.00716610131049 10000
1.0054170565104 1.00520513769832 20000
1.003458112293 1.00332096194257 50000
1.00267413113886 1.00255853357616 80000
1.00241728033626 1.00233268709077 1e+05
