size epsilon
40158.9319771138 0.01
4249.57264957265 0.03
1540.06677796327 0.05
721.305418719212 0.07
460.62015503876 0.09
357.651006711409 0.11
222.301425661914 0.13
170.316301703163 0.15
136.594911937378 0.17
