eMoR eRoS sizes
1.10704704357569 1.10367289240899 100
1.07683261359437 1.07404088888615 200
1.0480345758856 1.0465095777253 500
1.03736671592882 1.03584769651274 800
1.03310951815479 1.03191099962518 1000
1.02370558653146 1.02295038401138 2000
1.01501621970407 1.01453922420415 5000
1.0117739281073 1.01137663139204 8000
1.01059733548859 1.01022101155436 10000
1.00745086472417 1.00723663451142 20000
1.00475652172622 1.00464593580187 50000
1.00372198281702 1.00365981590511 80000
1.00332959260699 1.00327951948683 1e+05
