eMoR eRoS sizes
1.01708341519963 1.01694672721309 100
1.01199831910945 1.01188620148639 200
1.00774368589916 1.00766637976396 500
1.00610692406247 1.00603653983722 800
1.00546780467141 1.00541776413559 1000
1.00382775859846 1.00377835410819 2000
1.00244273865578 1.00240885358541 5000
1.00192129864774 1.00190519099579 8000
1.00171989145235 1.0017001398219 10000
1.00121739755602 1.00120111782936 20000
1.00078770755468 1.00077902445014 50000
1.00063093584545 1.00062358683067 80000
1.00055165307345 1.00054445663666 1e+05
