eMoR eRoS sizes
1.02529145730738 1.02439797185527 100
1.01778952342615 1.01705395043116 200
1.01128450059778 1.0108892814434 500
1.00901761065302 1.00867673515421 800
1.0079701481809 1.00767702396155 1000
1.00559849492667 1.00541258734279 2000
1.00356620693276 1.00344231602198 5000
1.0027043727046 1.00262209924639 8000
1.00245220734599 1.00236360059989 10000
1.00175391671448 1.00169356897034 20000
1.00104970508776 1.00101392480971 50000
1.00081459753638 1.00078558922299 80000
1.00071212287433 1.00069027786221 1e+05
