eMoR eRoS sizes
1.04665439166704 1.04484999131817 100
1.03344383548438 1.03235037572723 200
1.02060860459842 1.01977590597078 500
1.01653549676937 1.01581633767488 800
1.01496921251627 1.01427469089295 1000
1.01034812926297 1.00996884809779 2000
1.00649459470744 1.00619899801822 5000
1.00526478984267 1.00501238188962 8000
1.00465026164759 1.00446471468547 10000
1.00328897134874 1.00316182621575 20000
1.00215141935287 1.0020589325445 50000
1.00167537875637 1.0015820790131 80000
1.0015114844191 1.00142685747344 1e+05
