MoR RoS MoRB RoSB Samp S
0.12305 0.12165 1 1 65967.1947289972 100
0.0502 0.0492 1 0.60848152514508 65967.1947289972 200
0.00545 0.00505 1 0.102383387797169 65967.1947289972 500
6e-04 0.00055 1 0.0172833218803573 65967.1947289972 800
0.00015 0.00015 1 0.00528830077755966 65967.1947289972 1000
0 0 1 1.44881442841107e-05 65967.1947289972 2000
0 0 1 3.54319554403633e-13 65967.1947289972 5000
0 0 0.771721276544569 1.0104893410518e-20 65967.1947289972 8000
0 0 0.608321516839912 9.7777987556361e-26 65967.1947289972 10000
0 0 0.185304712895589 9.18651707373699e-51 65967.1947289972 20000
0 0 0.00528455439079186 8.07166139921796e-126 65967.1947289972 50000
0 0 0.000152674262655591 7.10323468078453e-201 65967.1947289972 80000
0 0 1.44739090503881e-05 6.50492405352707e-251 65967.1947289972 1e+05
