MoR RoS MoRB RoSB Samp S
0.2654 0.2571 1 1 65967.186050125 100
0.18895 0.17895 1 1 65967.186050125 200
0.0855 0.0768 1 0.819120482911304 65967.186050125 500
0.03955 0.0342 1 0.479731368151914 65967.186050125 800
0.025 0.01995 1 0.335798507211616 65967.186050125 1000
0.00365 0.00245 1 0.0565560961331727 65967.186050125 2000
0 0 1 0.000275546014058136 65967.186050125 5000
0 0 0.771721276544569 1.37973033260082e-06 65967.186050125 8000
0 0 0.608321516839912 4.09807016839746e-08 65967.186050125 10000
0 0 0.185304712895589 1.06926495139384e-15 65967.186050125 20000
0 0 0.00528455439079186 2.96233188193959e-38 65967.186050125 50000
0 0 0.000152674262655591 8.97303572784788e-61 65967.186050125 80000
0 0 1.44739090503881e-05 8.73260800471836e-76 65967.186050125 1e+05
