MoR RoS MoRB RoSB Samp S
0.21355 0.20535 1 1 43978.1298193314 100
0.13145 0.124 1 1 43978.1298193314 200
0.04025 0.035 1 0.524393827003838 43978.1298193314 500
0.0125 0.01055 1 0.235104559332571 43978.1298193314 800
0.00655 0.0053 1 0.137710736695226 43978.1298193314 1000
2e-04 5e-05 1 0.00955814642690681 43978.1298193314 2000
0 0 0.819023501538583 3.33251062387202e-06 43978.1298193314 5000
0 0 0.479547788532909 1.22818309982085e-09 43978.1298193314 8000
0 0 0.335682495694806 6.47847462852831e-12 43978.1298193314 10000
0 0 0.0565310359448146 3.12929345997085e-23 43978.1298193314 20000
0 0 0.000275376354944174 5.08423142759922e-57 43978.1298193314 50000
0 0 1.37928760196687e-06 8.52003978673456e-91 43978.1298193314 80000
0 0 4.09426454162075e-08 2.59019390196134e-113 43978.1298193314 1e+05
