size epsilon
99561.0165119914 0.01
13521.6072149308 0.03
4742.94952644549 0.05
2700.09156301722 0.07
1639.04811437247 0.09
928.583201197643 0.11
721.203807903913 0.13
522.224222235066 0.15
471.074714818592 0.17
