MoR RoS MoRB RoSB Samp S
0.3345 0.32985 1 1 329835.973644986 100
0.2892 0.28575 1 1 329835.973644986 200
0.19485 0.1916 1 1 329835.973644986 500
0.14 0.136 1 1 329835.973644986 800
0.1124 0.1073 1 0.979083541113363 329835.973644986 1000
0.04285 0.0408 1 0.4795466469897 329835.973644986 2000
0.0025 0.00225 1 0.0565345920798085 329835.973644986 5000
0.00035 0.00035 1 0.00669740598361153 329835.973644986 8000
2e-04 5e-05 1 0.00161987257224968 329835.973644986 10000
0 0 1 1.37989204250598e-06 329835.973644986 20000
0 0 0.608321516839912 1.06879642296816e-15 329835.973644986 50000
0 0 0.298062459632744 9.80991900602796e-25 329835.973644986 80000
0 0 0.185304712895589 9.57011062026971e-31 329835.973644986 1e+05
