MoR RoS MoRB RoSB Samp S
0.40815 0.41085 1 1 659671.947289972 100
0.39035 0.3894 1 1 659671.947289972 200
0.3352 0.33185 1 1 659671.947289972 500
0.29015 0.28555 1 1 659671.947289972 800
0.26855 0.26355 1 1 659671.947289972 1000
0.2022 0.18975 1 1 659671.947289972 2000
0.0941 0.08595 1 0.819023989923436 659671.947289972 5000
0.0457 0.0403 1 0.479542516780189 659671.947289972 8000
0.03205 0.0274 1 0.33567546288922 659671.947289972 10000
0.00435 0.00315 1 0.0565266204834257 659671.947289972 20000
0 0 1 0.000275368846769708 659671.947289972 50000
0 0 0.771721276544569 1.37907731355897e-06 659671.947289972 80000
0 0 0.608321516839912 4.09315528856257e-08 659671.947289972 1e+05
