eMoR eRoS sizes
1.01144579070779 1.01130943228205 100
1.00804929684302 1.00796725890643 200
1.00511141732277 1.00506573740102 500
1.00401884049137 1.00398062055962 800
1.00363245928165 1.00360255983025 1000
1.00250726928054 1.00247377373003 2000
1.00162869844539 1.001609901903 5000
1.0012665542023 1.0012558705453 8000
1.00114954983867 1.00113686779021 10000
1.00082007785853 1.00081034186539 20000
1.00051716679337 1.00051203392071 50000
1.00040302780413 1.00040016521987 80000
1.00036347442265 1.00035889504867 1e+05
