MoR RoS MoRB RoSB Samp S
0.38165 0.3798 1 1 329835.930250625 100
0.3459 0.33975 1 1 329835.930250625 200
0.27005 0.26175 1 1 329835.930250625 500
0.22535 0.21825 1 1 329835.930250625 800
0.19645 0.1891 1 1 329835.930250625 1000
0.1166 0.109 1 0.979049164037295 329835.930250625 2000
0.0304 0.0252 1 0.335692053411861 329835.930250625 5000
0.0092 0.00715 1 0.115227103523728 329835.930250625 8000
0.00355 0.00275 1 0.0565360809008271 329835.930250625 10000
0.00015 1e-04 1 0.00161905969304038 329835.930250625 20000
0 0 0.608321516839912 4.09349127352183e-08 329835.930250625 50000
0 0 0.298062459632744 1.12966353358447e-12 329835.930250625 80000
0 0 0.185304712895589 1.06758533212789e-15 329835.930250625 1e+05
