MoR RoS MoRB RoSB Samp S
0.12885 0.12655 1 1 43978.1298193314 100
0.05765 0.05425 1 0.685343222876606 43978.1298193314 200
0.006 0.0055 1 0.137744318094027 43978.1298193314 500
0.00075 0.00055 1 0.0277570731775265 43978.1298193314 800
0.00015 1e-04 1 0.00955904648046766 43978.1298193314 1000
0 0 1 4.70674048740596e-05 43978.1298193314 2000
0 0 0.819023501538583 6.48884379638957e-12 43978.1298193314 5000
0 0 0.479547788532909 1.03138839434344e-18 43978.1298193314 8000
0 0 0.335682495694806 3.14513776917755e-23 43978.1298193314 10000
0 0 0.0565310359448146 9.31288456711353e-46 43978.1298193314 20000
0 0 0.000275376354944174 2.63244109422163e-113 43978.1298193314 50000
0 0 1.37928760196687e-06 7.48404750133528e-181 43978.1298193314 80000
0 0 4.09426454162075e-08 6.96003209411665e-226 43978.1298193314 1e+05
