eMoR eRoS sizes
1.01357510695139 1.01343462470201 100
1.0095813160207 1.00946952845663 200
1.00609231707792 1.0060196605462 500
1.00478694940031 1.00473506648438 800
1.00432504584056 1.00427114270016 1000
1.00300885764243 1.00297433540834 2000
1.00191471985867 1.00189514865308 5000
1.0014893049346 1.00147410426631 8000
1.00134567898439 1.00132678214601 10000
1.00094552280094 1.00093285439528 20000
1.00060071900711 1.00059193373835 50000
1.00046819808971 1.00046092500423 80000
1.00041609930631 1.00040859452456 1e+05
