MoR RoS MoRB RoSB Samp S
0.17435 0.1656 1 1 32983.5973644986 100
0.0923 0.08415 1 0.979169920674797 32983.5973644986 200
0.01905 0.01475 1 0.3357638273769 32983.5973644986 500
0.0046 0.0031 1 0.115267883282137 32983.5973644986 800
0.0019 0.00145 1 0.0565796165329659 32983.5973644986 1000
0 0 1 0.00161998324544112 32983.5973644986 2000
0 0 0.608321516839912 4.09924977743663e-08 32983.5973644986 5000
0 0 0.298062459632744 1.13355810489522e-12 32983.5973644986 8000
0 0 0.185304712895589 1.07025557204913e-15 32983.5973644986 10000
0 0 0.0172714897933505 9.60064159825907e-31 32983.5973644986 20000
0 0 1.44739090503881e-05 8.80407987312748e-76 32983.5973644986 50000
0 0 1.27053678974956e-08 8.17326120252784e-121 32983.5973644986 80000
0 0 1.1900773831161e-10 7.76252647739897e-151 32983.5973644986 1e+05
