eMoR eRoS sizes
1.02125613475322 1.02048612353431 100
1.01484739801677 1.01434115051915 200
1.00960163984678 1.0092607665869 500
1.00767737208667 1.0073682523616 800
1.00691427397435 1.00664388862224 1000
1.00475024202529 1.00457668806911 2000
1.00309535835337 1.0029707730127 5000
1.00242690500837 1.00234685880323 8000
1.00217688348579 1.0020912315135 10000
1.00153639440389 1.00148312624185 20000
1.00097062857694 1.00093914317424 50000
1.00078034551508 1.00075359187298 80000
1.00070121021376 1.00067835045066 1e+05
