eMoR eRoS sizes
1.05671907626495 1.0561178959982 100
1.03935357477455 1.03891746549339 200
1.02555091943623 1.02536859744851 500
1.02017675344641 1.0199756147136 800
1.01839550800064 1.01820979010379 1000
1.01241604272712 1.01227491741946 2000
1.00810119917587 1.00801899003853 5000
1.00626202603782 1.00621262797256 8000
1.00574206784549 1.00567989076507 10000
1.00407519961195 1.00403303474063 20000
1.002583821643 1.00255374132756 50000
1.00205020605403 1.00202397852289 80000
1.00183560546334 1.00181441109369 1e+05
