MoR RoS MoRB RoSB Samp S
0.07225 0.0693 1 0.819245053308166 43978.1298193314 100
0.0184 0.01755 1 0.33583108012817 43978.1298193314 200
5e-04 5e-04 1 0.0232359617464184 43978.1298193314 500
0 0 1 0.00162049484424467 43978.1298193314 800
0 0 1 0.000275717176017876 43978.1298193314 1000
0 0 1 4.10418511845131e-08 43978.1298193314 2000
0 0 0.819023501538583 1.82091152014841e-19 43978.1298193314 5000
0 0 0.479547788532909 9.62119023188646e-31 43978.1298193314 8000
0 0 0.335682495694806 2.98919088801909e-38 43978.1298193314 10000
0 0 0.0565310359448146 8.84412027405704e-76 43978.1298193314 20000
0 0 0.000275376354944174 2.33029680113977e-188 43978.1298193314 50000
0 0 1.37928760196687e-06 6.10989561109446e-301 43978.1298193314 80000
0 0 4.09426454162075e-08 0 43978.1298193314 1e+05
